id,female,grade,bio2,ret,course,gen2,org2,phys2,mcat,gender
133,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
134,1,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
135,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
136,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
137,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
139,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
140,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
141,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
142,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
144,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
145,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
146,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
147,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
148,0,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
149,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
150,1,1.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
151,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
152,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
155,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
156,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
159,1,0,req_bio2,0,Bio,NA,NA,NA,NA,Female
160,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
163,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
164,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
165,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
166,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
167,1,3.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
168,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
169,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
171,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
172,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
173,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
174,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
176,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
177,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
178,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
179,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
181,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
183,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
184,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
186,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
188,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
189,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
190,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
191,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
192,0,4,req_bio2,0,Bio,NA,NA,NA,NA,Male
195,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
196,0,1,req_bio2,0,Bio,NA,NA,NA,NA,Male
197,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
199,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
200,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
201,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
202,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
204,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
206,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
208,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
209,0,3.75,req_bio2,0,Bio,NA,NA,NA,NA,Male
210,1,1,req_bio2,0,Bio,NA,NA,NA,NA,Female
212,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
213,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
215,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
216,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
218,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
219,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
222,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
223,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
225,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
226,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
227,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
228,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
229,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
231,1,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
233,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
235,1,1.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
236,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
238,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
239,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
240,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
242,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
243,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
244,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
246,1,2.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
247,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
248,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
250,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
254,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
255,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
256,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
257,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
259,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
265,1,0.75,req_bio2,0,Bio,NA,NA,NA,NA,Female
266,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
269,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
270,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
271,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
273,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
274,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
275,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
276,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
277,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
279,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
281,0,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
283,1,2,req_bio2,0,Bio,NA,NA,NA,NA,Female
284,0,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
286,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
287,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
288,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
290,0,0,req_bio2,0,Bio,NA,NA,NA,NA,Male
291,0,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
292,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
295,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
297,1,3,req_bio2,0,Bio,NA,NA,NA,NA,Female
298,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
300,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
302,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
305,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
306,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
307,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
310,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
312,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
313,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
314,1,4,req_bio2,1,Bio,NA,NA,NA,NA,Female
315,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
316,0,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Male
317,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
318,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
319,1,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
320,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
321,1,3.25,req_bio2,0,Bio,NA,NA,NA,NA,Female
324,0,3,req_bio2,1,Bio,NA,NA,NA,NA,Male
326,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
327,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
328,0,2,req_bio2,0,Bio,NA,NA,NA,NA,Male
329,0,1.25,req_bio2,0,Bio,NA,NA,NA,NA,Male
330,1,2.25,req_bio2,1,Bio,NA,NA,NA,NA,Female
331,1,2,req_bio2,1,Bio,NA,NA,NA,NA,Female
332,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
333,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
335,1,3.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
336,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
338,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
339,0,2,req_bio2,1,Bio,NA,NA,NA,NA,Male
340,1,3,req_bio2,1,Bio,NA,NA,NA,NA,Female
341,0,3.25,req_bio2,1,Bio,NA,NA,NA,NA,Male
342,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
343,1,2.75,req_bio2,1,Bio,NA,NA,NA,NA,Female
345,0,4,req_bio2,1,Bio,NA,NA,NA,NA,Male
